id,CalendarDate,DayWeek,TypeDay
475,"2019-04-20",Суббота,Выходной день
476,"2019-04-21",Воскресенье,Выходной день
477,"2019-04-22",Понедельник,Рабочий день
478,"2019-04-23",Вторник,Рабочий день
479,"2019-04-24",Среда,Рабочий день
480,"2019-04-25",Четверг,Рабочий день
481,"2019-04-26",Пятница,Рабочий день
482,"2019-04-27",Суббота,Выходной день
483,"2019-04-28",Воскресенье,Выходной день
484,"2019-04-29",Понедельник,Рабочий день
485,"2019-04-30",Вторник,Рабочий день
486,"2019-05-01",Среда,Праздник
487,"2019-05-02",Четверг,Выходной день
488,"2019-05-03",Пятница,Выходной день
489,"2019-05-04",Суббота,Выходной день
490,"2019-05-05",Воскресенье,Выходной день
491,"2019-05-06",Понедельник,Рабочий день
492,"2019-05-07",Вторник,Рабочий день
493,"2019-05-08",Среда,Рабочий день
494,"2019-05-09",Четверг,Праздник
495,"2019-05-10",Пятница,Выходной день
496,"2019-05-11",Суббота,Выходной день
497,"2019-05-12",Воскресенье,Выходной день
498,"2019-05-13",Понедельник,Рабочий день
499,"2019-05-14",Вторник,Рабочий день
500,"2019-05-15",Среда,Рабочий день
501,"2019-05-16",Четверг,Рабочий день
502,"2019-05-17",Пятница,Рабочий день
503,"2019-05-18",Суббота,Выходной день
504,"2019-05-19",Воскресенье,Выходной день
505,"2019-05-20",Понедельник,Рабочий день
506,"2019-05-21",Вторник,Рабочий день
507,"2019-05-22",Среда,Рабочий день
508,"2019-05-23",Четверг,Рабочий день
509,"2019-05-24",Пятница,Рабочий день
510,"2019-05-25",Суббота,Выходной день
511,"2019-05-26",Воскресенье,Выходной день
512,"2019-05-27",Понедельник,Рабочий день
513,"2019-05-28",Вторник,Рабочий день
514,"2019-05-29",Среда,Рабочий день
515,"2019-05-30",Четверг,Рабочий день
516,"2019-05-31",Пятница,Рабочий день
517,"2019-06-01",Суббота,Выходной день
518,"2019-06-02",Воскресенье,Выходной день
519,"2019-06-03",Понедельник,Рабочий день
520,"2019-06-04",Вторник,Рабочий день
521,"2019-06-05",Среда,Рабочий день
522,"2019-06-06",Четверг,Рабочий день
523,"2019-06-07",Пятница,Рабочий день
524,"2019-06-08",Суббота,Выходной день
525,"2019-06-09",Воскресенье,Выходной день
526,"2019-06-10",Понедельник,Рабочий день
527,"2019-06-11",Вторник,Рабочий день
528,"2019-06-12",Среда,Праздник
529,"2019-06-13",Четверг,Рабочий день
530,"2019-06-14",Пятница,Рабочий день
531,"2019-06-15",Суббота,Выходной день
532,"2019-06-16",Воскресенье,Выходной день
533,"2019-06-17",Понедельник,Рабочий день
534,"2019-06-18",Вторник,Рабочий день
535,"2019-06-19",Среда,Рабочий день
536,"2019-06-20",Четверг,Рабочий день
537,"2019-06-21",Пятница,Рабочий день
538,"2019-06-22",Суббота,Выходной день
539,"2019-06-23",Воскресенье,Выходной день
540,"2019-06-24",Понедельник,Рабочий день
541,"2019-06-25",Вторник,Рабочий день
542,"2019-06-26",Среда,Рабочий день
543,"2019-06-27",Четверг,Рабочий день
544,"2019-06-28",Пятница,Рабочий день
545,"2019-06-29",Суббота,Выходной день
546,"2019-06-30",Воскресенье,Выходной день
547,"2019-07-01",Понедельник,Рабочий день
548,"2019-07-02",Вторник,Рабочий день
549,"2019-07-03",Среда,Рабочий день
550,"2019-07-04",Четверг,Рабочий день
551,"2019-07-05",Пятница,Рабочий день
552,"2019-07-06",Суббота,Выходной день
553,"2019-07-07",Воскресенье,Выходной день
554,"2019-07-08",Понедельник,Рабочий день
555,"2019-07-09",Вторник,Рабочий день
556,"2019-07-10",Среда,Рабочий день
557,"2019-07-11",Четверг,Рабочий день
558,"2019-07-12",Пятница,Рабочий день
559,"2019-07-13",Суббота,Выходной день
560,"2019-07-14",Воскресенье,Выходной день
561,"2019-07-15",Понедельник,Рабочий день
562,"2019-07-16",Вторник,Рабочий день
563,"2019-07-17",Среда,Рабочий день
564,"2019-07-18",Четверг,Рабочий день
565,"2019-07-19",Пятница,Рабочий день
566,"2019-07-20",Суббота,Выходной день
567,"2019-07-21",Воскресенье,Выходной день
568,"2019-07-22",Понедельник,Рабочий день
569,"2019-07-23",Вторник,Рабочий день
570,"2019-07-24",Среда,Рабочий день
571,"2019-07-25",Четверг,Рабочий день
572,"2019-07-26",Пятница,Рабочий день
573,"2019-07-27",Суббота,Выходной день
574,"2019-07-28",Воскресенье,Выходной день
575,"2019-07-29",Понедельник,Рабочий день
576,"2019-07-30",Вторник,Рабочий день
577,"2019-07-31",Среда,Рабочий день
578,"2019-08-01",Четверг,Рабочий день
579,"2019-08-02",Пятница,Рабочий день
580,"2019-08-03",Суббота,Выходной день
581,"2019-08-04",Воскресенье,Выходной день
582,"2019-08-05",Понедельник,Рабочий день
583,"2019-08-06",Вторник,Рабочий день
584,"2019-08-07",Среда,Рабочий день
585,"2019-08-08",Четверг,Рабочий день
586,"2019-08-09",Пятница,Рабочий день
587,"2019-08-10",Суббота,Выходной день
588,"2019-08-11",Воскресенье,Выходной день
589,"2019-08-12",Понедельник,Рабочий день
590,"2019-08-13",Вторник,Рабочий день
591,"2019-08-14",Среда,Рабочий день
592,"2019-08-15",Четверг,Рабочий день
593,"2019-08-16",Пятница,Рабочий день
594,"2019-08-17",Суббота,Выходной день
595,"2019-08-18",Воскресенье,Выходной день
596,"2019-08-19",Понедельник,Рабочий день
597,"2019-08-20",Вторник,Рабочий день
598,"2019-08-21",Среда,Рабочий день
599,"2019-08-22",Четверг,Рабочий день
600,"2019-08-23",Пятница,Рабочий день
601,"2019-08-24",Суббота,Выходной день
602,"2019-08-25",Воскресенье,Выходной день
603,"2019-08-26",Понедельник,Рабочий день
604,"2019-08-27",Вторник,Рабочий день
605,"2019-08-28",Среда,Рабочий день
606,"2019-08-29",Четверг,Рабочий день
607,"2019-08-30",Пятница,Рабочий день
608,"2019-08-31",Суббота,Выходной день
609,"2019-09-01",Воскресенье,Выходной день
610,"2019-09-02",Понедельник,Рабочий день
611,"2019-09-03",Вторник,Рабочий день
612,"2019-09-04",Среда,Рабочий день
613,"2019-09-05",Четверг,Рабочий день
614,"2019-09-06",Пятница,Рабочий день
615,"2019-09-07",Суббота,Выходной день
616,"2019-09-08",Воскресенье,Выходной день
617,"2019-09-09",Понедельник,Рабочий день
618,"2019-09-10",Вторник,Рабочий день
619,"2019-09-11",Среда,Рабочий день
620,"2019-09-12",Четверг,Рабочий день
621,"2019-09-13",Пятница,Рабочий день
622,"2019-09-14",Суббота,Выходной день
623,"2019-09-15",Воскресенье,Выходной день
624,"2019-09-16",Понедельник,Рабочий день
625,"2019-09-17",Вторник,Рабочий день
626,"2019-09-18",Среда,Рабочий день
627,"2019-09-19",Четверг,Рабочий день
628,"2019-09-20",Пятница,Рабочий день
629,"2019-09-21",Суббота,Выходной день
630,"2019-09-22",Воскресенье,Выходной день
631,"2019-09-23",Понедельник,Рабочий день
632,"2019-09-24",Вторник,Рабочий день
633,"2019-09-25",Среда,Рабочий день
634,"2019-09-26",Четверг,Рабочий день
635,"2019-09-27",Пятница,Рабочий день
636,"2019-09-28",Суббота,Выходной день
637,"2019-09-29",Воскресенье,Выходной день
638,"2019-09-30",Понедельник,Рабочий день
639,"2019-10-01",Вторник,Рабочий день
640,"2019-10-02",Среда,Рабочий день
641,"2019-10-03",Четверг,Рабочий день
642,"2019-10-04",Пятница,Рабочий день
643,"2019-10-05",Суббота,Выходной день
644,"2019-10-06",Воскресенье,Выходной день
645,"2019-10-07",Понедельник,Рабочий день
646,"2019-10-08",Вторник,Рабочий день
647,"2019-10-09",Среда,Рабочий день
648,"2019-10-10",Четверг,Рабочий день
649,"2019-10-11",Пятница,Рабочий день
650,"2019-10-12",Суббота,Выходной день
651,"2019-10-13",Воскресенье,Выходной день
652,"2019-10-14",Понедельник,Рабочий день
653,"2019-10-15",Вторник,Рабочий день
654,"2019-10-16",Среда,Рабочий день
655,"2019-10-17",Четверг,Рабочий день
656,"2019-10-18",Пятница,Рабочий день
657,"2019-10-19",Суббота,Выходной день
658,"2019-10-20",Воскресенье,Выходной день
659,"2019-10-21",Понедельник,Рабочий день
660,"2019-10-22",Вторник,Рабочий день
661,"2019-10-23",Среда,Рабочий день
662,"2019-10-24",Четверг,Рабочий день
663,"2019-10-25",Пятница,Рабочий день
664,"2019-10-26",Суббота,Выходной день
665,"2019-10-27",Воскресенье,Выходной день
666,"2019-10-28",Понедельник,Рабочий день
667,"2019-10-29",Вторник,Рабочий день
668,"2019-10-30",Среда,Рабочий день
669,"2019-10-31",Четверг,Рабочий день
670,"2019-11-01",Пятница,Рабочий день
671,"2019-11-02",Суббота,Выходной день
672,"2019-11-03",Воскресенье,Выходной день
673,"2019-11-04",Понедельник,Праздник
674,"2019-11-05",Вторник,Рабочий день
675,"2019-11-06",Среда,Рабочий день
676,"2019-11-07",Четверг,Рабочий день
677,"2019-11-08",Пятница,Рабочий день
678,"2019-11-09",Суббота,Выходной день
679,"2019-11-10",Воскресенье,Выходной день
680,"2019-11-11",Понедельник,Рабочий день
681,"2019-11-12",Вторник,Рабочий день
682,"2019-11-13",Среда,Рабочий день
683,"2019-11-14",Четверг,Рабочий день
684,"2019-11-15",Пятница,Рабочий день
685,"2019-11-16",Суббота,Выходной день
686,"2019-11-17",Воскресенье,Выходной день
687,"2019-11-18",Понедельник,Рабочий день
688,"2019-11-19",Вторник,Рабочий день
689,"2019-11-20",Среда,Рабочий день
690,"2019-11-21",Четверг,Рабочий день
691,"2019-11-22",Пятница,Рабочий день
692,"2019-11-23",Суббота,Выходной день
693,"2019-11-24",Воскресенье,Выходной день
694,"2019-11-25",Понедельник,Рабочий день
695,"2019-11-26",Вторник,Рабочий день
696,"2019-11-27",Среда,Рабочий день
697,"2019-11-28",Четверг,Рабочий день
698,"2019-11-29",Пятница,Рабочий день
699,"2019-11-30",Суббота,Выходной день
700,"2019-12-01",Воскресенье,Выходной день
701,"2019-12-02",Понедельник,Рабочий день
702,"2019-12-03",Вторник,Рабочий день
703,"2019-12-04",Среда,Рабочий день
704,"2019-12-05",Четверг,Рабочий день
705,"2019-12-06",Пятница,Рабочий день
706,"2019-12-07",Суббота,Выходной день
707,"2019-12-08",Воскресенье,Выходной день
708,"2019-12-09",Понедельник,Рабочий день
709,"2019-12-10",Вторник,Рабочий день
710,"2019-12-11",Среда,Рабочий день
711,"2019-12-12",Четверг,Рабочий день
712,"2019-12-13",Пятница,Рабочий день
713,"2019-12-14",Суббота,Выходной день
714,"2019-12-15",Воскресенье,Выходной день
715,"2019-12-16",Понедельник,Рабочий день
716,"2019-12-17",Вторник,Рабочий день
717,"2019-12-18",Среда,Рабочий день
718,"2019-12-19",Четверг,Рабочий день
719,"2019-12-20",Пятница,Рабочий день
720,"2019-12-21",Суббота,Выходной день
721,"2019-12-22",Воскресенье,Выходной день
722,"2019-12-23",Понедельник,Рабочий день
723,"2019-12-24",Вторник,Рабочий день
724,"2019-12-25",Среда,Рабочий день
725,"2019-12-26",Четверг,Рабочий день
726,"2019-12-27",Пятница,Рабочий день
727,"2019-12-28",Суббота,Выходной день
728,"2019-12-29",Воскресенье,Выходной день
729,"2019-12-30",Понедельник,Рабочий день
730,"2019-12-31",Вторник,Рабочий день
731,"2020-01-01",Среда,Праздник
732,"2020-01-02",Четверг,Выходной день
733,"2020-01-03",Пятница,Выходной день
734,"2020-01-04",Суббота,Выходной день
735,"2020-01-05",Воскресенье,Выходной день
736,"2020-01-06",Понедельник,Выходной день
737,"2020-01-07",Вторник,Выходной день
738,"2020-01-08",Среда,Выходной день
739,"2020-01-09",Четверг,Рабочий день
740,"2020-01-10",Пятница,Рабочий день
741,"2020-01-11",Суббота,Выходной день
742,"2020-01-12",Воскресенье,Выходной день
743,"2020-01-13",Понедельник,Рабочий день
744,"2020-01-14",Вторник,Рабочий день
745,"2020-01-15",Среда,Рабочий день
746,"2020-01-16",Четверг,Рабочий день
747,"2020-01-17",Пятница,Рабочий день
748,"2020-01-18",Суббота,Выходной день
749,"2020-01-19",Воскресенье,Выходной день
750,"2020-01-20",Понедельник,Рабочий день
751,"2020-01-21",Вторник,Рабочий день
752,"2020-01-22",Среда,Рабочий день
753,"2020-01-23",Четверг,Рабочий день
754,"2020-01-24",Пятница,Рабочий день
755,"2020-01-25",Суббота,Выходной день
756,"2020-01-26",Воскресенье,Выходной день
757,"2020-01-27",Понедельник,Рабочий день
758,"2020-01-28",Вторник,Рабочий день
759,"2020-01-29",Среда,Рабочий день
760,"2020-01-30",Четверг,Рабочий день
761,"2020-01-31",Пятница,Рабочий день
762,"2020-02-01",Суббота,Выходной день
763,"2020-02-02",Воскресенье,Выходной день
764,"2020-02-03",Понедельник,Рабочий день
765,"2020-02-04",Вторник,Рабочий день
766,"2020-02-05",Среда,Рабочий день
767,"2020-02-06",Четверг,Рабочий день
768,"2020-02-07",Пятница,Рабочий день
769,"2020-02-08",Суббота,Выходной день
770,"2020-02-09",Воскресенье,Выходной день
771,"2020-02-10",Понедельник,Рабочий день
772,"2020-02-11",Вторник,Рабочий день
773,"2020-02-12",Среда,Рабочий день
774,"2020-02-13",Четверг,Рабочий день
775,"2020-02-14",Пятница,Рабочий день
776,"2020-02-15",Суббота,Выходной день
777,"2020-02-16",Воскресенье,Выходной день
778,"2020-02-17",Понедельник,Рабочий день
779,"2020-02-18",Вторник,Рабочий день
780,"2020-02-19",Среда,Рабочий день
781,"2020-02-20",Четверг,Рабочий день
782,"2020-02-21",Пятница,Рабочий день
783,"2020-02-22",Суббота,Выходной день
784,"2020-02-23",Воскресенье,Выходной день
785,"2020-02-24",Понедельник,Выходной день
786,"2020-02-25",Вторник,Рабочий день
787,"2020-02-26",Среда,Рабочий день
788,"2020-02-27",Четверг,Рабочий день
789,"2020-02-28",Пятница,Рабочий день
790,"2020-02-29",Суббота,Выходной день
791,"2020-03-01",Воскресенье,Выходной день
792,"2020-03-02",Понедельник,Рабочий день
793,"2020-03-03",Вторник,Рабочий день
794,"2020-03-04",Среда,Рабочий день
795,"2020-03-05",Четверг,Рабочий день
796,"2020-03-06",Пятница,Рабочий день
797,"2020-03-07",Суббота,Выходной день
798,"2020-03-08",Воскресенье,Праздник
799,"2020-03-09",Понедельник,Выходной день
800,"2020-03-10",Вторник,Рабочий день
801,"2020-03-11",Среда,Рабочий день
802,"2020-03-12",Четверг,Рабочий день
803,"2020-03-13",Пятница,Рабочий день
804,"2020-03-14",Суббота,Выходной день
805,"2020-03-15",Воскресенье,Выходной день
806,"2020-03-16",Понедельник,Рабочий день
807,"2020-03-17",Вторник,Рабочий день
808,"2020-03-18",Среда,Рабочий день
809,"2020-03-19",Четверг,Рабочий день
810,"2020-03-20",Пятница,Рабочий день
811,"2020-03-21",Суббота,Выходной день
812,"2020-03-22",Воскресенье,Выходной день
813,"2020-03-23",Понедельник,Рабочий день
814,"2020-03-24",Вторник,Рабочий день
815,"2020-03-25",Среда,Рабочий день
816,"2020-03-26",Четверг,Рабочий день
817,"2020-03-27",Пятница,Рабочий день
818,"2020-03-28",Суббота,Выходной день
819,"2020-03-29",Воскресенье,Выходной день
820,"2020-03-30",Понедельник,Рабочий день
821,"2020-03-31",Вторник,Рабочий день
822,"2020-04-01",Среда,Рабочий день
823,"2020-04-02",Четверг,Рабочий день
824,"2020-04-03",Пятница,Рабочий день
825,"2020-04-04",Суббота,Выходной день
826,"2020-04-05",Воскресенье,Выходной день
827,"2020-04-06",Понедельник,Рабочий день
828,"2020-04-07",Вторник,Рабочий день
829,"2020-04-08",Среда,Рабочий день
830,"2020-04-09",Четверг,Рабочий день
831,"2020-04-10",Пятница,Рабочий день
832,"2020-04-11",Суббота,Выходной день
833,"2020-04-12",Воскресенье,Выходной день
834,"2020-04-13",Понедельник,Рабочий день
835,"2020-04-14",Вторник,Рабочий день
836,"2020-04-15",Среда,Рабочий день
837,"2020-04-16",Четверг,Рабочий день
838,"2020-04-17",Пятница,Рабочий день
839,"2020-04-18",Суббота,Выходной день
840,"2020-04-19",Воскресенье,Выходной день
841,"2020-04-20",Понедельник,Рабочий день
842,"2020-04-21",Вторник,Рабочий день
843,"2020-04-22",Среда,Рабочий день
844,"2020-04-23",Четверг,Рабочий день
845,"2020-04-24",Пятница,Рабочий день
846,"2020-04-25",Суббота,Выходной день
847,"2020-04-26",Воскресенье,Выходной день
848,"2020-04-27",Понедельник,Рабочий день
849,"2020-04-28",Вторник,Рабочий день
850,"2020-04-29",Среда,Рабочий день
851,"2020-04-30",Четверг,Рабочий день
852,"2020-05-01",Пятница,Праздник
853,"2020-05-02",Суббота,Выходной день
854,"2020-05-03",Воскресенье,Выходной день
855,"2020-05-04",Понедельник,Выходной день
856,"2020-05-05",Вторник,Выходной день
857,"2020-05-06",Среда,Рабочий день
858,"2020-05-07",Четверг,Рабочий день
859,"2020-05-08",Пятница,Рабочий день
860,"2020-05-09",Суббота,Праздник
861,"2020-05-10",Воскресенье,Выходной день
862,"2020-05-11",Понедельник,Выходной день
863,"2020-05-12",Вторник,Рабочий день
864,"2020-05-13",Среда,Рабочий день
865,"2020-05-14",Четверг,Рабочий день
866,"2020-05-15",Пятница,Рабочий день
867,"2020-05-16",Суббота,Выходной день
868,"2020-05-17",Воскресенье,Выходной день
869,"2020-05-18",Понедельник,Рабочий день
870,"2020-05-19",Вторник,Рабочий день
871,"2020-05-20",Среда,Рабочий день
872,"2020-05-21",Четверг,Рабочий день
873,"2020-05-22",Пятница,Рабочий день
874,"2020-05-23",Суббота,Выходной день
875,"2020-05-24",Воскресенье,Выходной день
876,"2020-05-25",Понедельник,Рабочий день
877,"2020-05-26",Вторник,Рабочий день
878,"2020-05-27",Среда,Рабочий день
879,"2020-05-28",Четверг,Рабочий день
880,"2020-05-29",Пятница,Рабочий день
881,"2020-05-30",Суббота,Выходной день
882,"2020-05-31",Воскресенье,Выходной день
883,"2020-06-01",Понедельник,Рабочий день
884,"2020-06-02",Вторник,Рабочий день
885,"2020-06-03",Среда,Рабочий день
886,"2020-06-04",Четверг,Рабочий день
887,"2020-06-05",Пятница,Рабочий день
888,"2020-06-06",Суббота,Выходной день
889,"2020-06-07",Воскресенье,Выходной день
890,"2020-06-08",Понедельник,Рабочий день
891,"2020-06-09",Вторник,Рабочий день
892,"2020-06-10",Среда,Рабочий день
893,"2020-06-11",Четверг,Рабочий день
894,"2020-06-12",Пятница,Праздник
895,"2020-06-13",Суббота,Выходной день
896,"2020-06-14",Воскресенье,Выходной день
897,"2020-06-15",Понедельник,Рабочий день
898,"2020-06-16",Вторник,Рабочий день
899,"2020-06-17",Среда,Рабочий день
900,"2020-06-18",Четверг,Рабочий день
901,"2020-06-19",Пятница,Рабочий день
902,"2020-06-20",Суббота,Выходной день
903,"2020-06-21",Воскресенье,Выходной день
904,"2020-06-22",Понедельник,Рабочий день
905,"2020-06-23",Вторник,Рабочий день
906,"2020-06-24",Среда,Выходной день
907,"2020-06-25",Четверг,Рабочий день
908,"2020-06-26",Пятница,Рабочий день
909,"2020-06-27",Суббота,Выходной день
910,"2020-06-28",Воскресенье,Выходной день
911,"2020-06-29",Понедельник,Рабочий день
912,"2020-06-30",Вторник,Рабочий день
913,"2020-07-01",Среда,Выходной день
914,"2020-07-02",Четверг,Рабочий день
915,"2020-07-03",Пятница,Рабочий день
916,"2020-07-04",Суббота,Выходной день
917,"2020-07-05",Воскресенье,Выходной день
918,"2020-07-06",Понедельник,Рабочий день
919,"2020-07-07",Вторник,Рабочий день
920,"2020-07-08",Среда,Рабочий день
921,"2020-07-09",Четверг,Рабочий день
922,"2020-07-10",Пятница,Рабочий день
923,"2020-07-11",Суббота,Выходной день
924,"2020-07-12",Воскресенье,Выходной день
925,"2020-07-13",Понедельник,Рабочий день
926,"2020-07-14",Вторник,Рабочий день
927,"2020-07-15",Среда,Рабочий день
928,"2020-07-16",Четверг,Рабочий день
929,"2020-07-17",Пятница,Рабочий день
930,"2020-07-18",Суббота,Выходной день
931,"2020-07-19",Воскресенье,Выходной день
932,"2020-07-20",Понедельник,Рабочий день
933,"2020-07-21",Вторник,Рабочий день
934,"2020-07-22",Среда,Рабочий день
935,"2020-07-23",Четверг,Рабочий день
936,"2020-07-24",Пятница,Рабочий день
937,"2020-07-25",Суббота,Выходной день
938,"2020-07-26",Воскресенье,Выходной день
939,"2020-07-27",Понедельник,Рабочий день
940,"2020-07-28",Вторник,Рабочий день
941,"2020-07-29",Среда,Рабочий день
942,"2020-07-30",Четверг,Рабочий день
943,"2020-07-31",Пятница,Рабочий день
944,"2020-08-01",Суббота,Выходной день
945,"2020-08-02",Воскресенье,Выходной день
946,"2020-08-03",Понедельник,Рабочий день
947,"2020-08-04",Вторник,Рабочий день
948,"2020-08-05",Среда,Рабочий день
949,"2020-08-06",Четверг,Рабочий день
950,"2020-08-07",Пятница,Рабочий день
951,"2020-08-08",Суббота,Выходной день
952,"2020-08-09",Воскресенье,Выходной день
953,"2020-08-10",Понедельник,Рабочий день
954,"2020-08-11",Вторник,Рабочий день
955,"2020-08-12",Среда,Рабочий день
956,"2020-08-13",Четверг,Рабочий день
957,"2020-08-14",Пятница,Рабочий день
958,"2020-08-15",Суббота,Выходной день
959,"2020-08-16",Воскресенье,Выходной день
960,"2020-08-17",Понедельник,Рабочий день
961,"2020-08-18",Вторник,Рабочий день
962,"2020-08-19",Среда,Рабочий день
963,"2020-08-20",Четверг,Рабочий день
964,"2020-08-21",Пятница,Рабочий день
965,"2020-08-22",Суббота,Выходной день
966,"2020-08-23",Воскресенье,Выходной день
967,"2020-08-24",Понедельник,Рабочий день
968,"2020-08-25",Вторник,Рабочий день
969,"2020-08-26",Среда,Рабочий день
970,"2020-08-27",Четверг,Рабочий день
971,"2020-08-28",Пятница,Рабочий день
972,"2020-08-29",Суббота,Выходной день
973,"2020-08-30",Воскресенье,Выходной день
974,"2020-08-31",Понедельник,Рабочий день
975,"2020-09-01",Вторник,Рабочий день
976,"2020-09-02",Среда,Рабочий день
977,"2020-09-03",Четверг,Рабочий день
978,"2020-09-04",Пятница,Рабочий день
979,"2020-09-05",Суббота,Выходной день
980,"2020-09-06",Воскресенье,Выходной день
981,"2020-09-07",Понедельник,Рабочий день
982,"2020-09-08",Вторник,Рабочий день
983,"2020-09-09",Среда,Рабочий день
984,"2020-09-10",Четверг,Рабочий день
985,"2020-09-11",Пятница,Рабочий день
986,"2020-09-12",Суббота,Выходной день
987,"2020-09-13",Воскресенье,Выходной день
988,"2020-09-14",Понедельник,Рабочий день
989,"2020-09-15",Вторник,Рабочий день
990,"2020-09-16",Среда,Рабочий день
991,"2020-09-17",Четверг,Рабочий день
992,"2020-09-18",Пятница,Рабочий день
993,"2020-09-19",Суббота,Выходной день
994,"2020-09-20",Воскресенье,Выходной день
995,"2020-09-21",Понедельник,Рабочий день
996,"2020-09-22",Вторник,Рабочий день
997,"2020-09-23",Среда,Рабочий день
998,"2020-09-24",Четверг,Рабочий день
999,"2020-09-25",Пятница,Рабочий день
1000,"2020-09-26",Суббота,Выходной день
1001,"2020-09-27",Воскресенье,Выходной день
1002,"2020-09-28",Понедельник,Рабочий день
1003,"2020-09-29",Вторник,Рабочий день
1004,"2020-09-30",Среда,Рабочий день
1005,"2020-10-01",Четверг,Рабочий день
1006,"2020-10-02",Пятница,Рабочий день
1007,"2020-10-03",Суббота,Выходной день
1008,"2020-10-04",Воскресенье,Выходной день
1009,"2020-10-05",Понедельник,Рабочий день
1010,"2020-10-06",Вторник,Рабочий день
1011,"2020-10-07",Среда,Рабочий день
1012,"2020-10-08",Четверг,Рабочий день
1013,"2020-10-09",Пятница,Рабочий день
1014,"2020-10-10",Суббота,Выходной день
1015,"2020-10-11",Воскресенье,Выходной день
1016,"2020-10-12",Понедельник,Рабочий день
1017,"2020-10-13",Вторник,Рабочий день
1018,"2020-10-14",Среда,Рабочий день
1019,"2020-10-15",Четверг,Рабочий день
1020,"2020-10-16",Пятница,Рабочий день
1021,"2020-10-17",Суббота,Выходной день
1022,"2020-10-18",Воскресенье,Выходной день
1023,"2020-10-19",Понедельник,Рабочий день
1024,"2020-10-20",Вторник,Рабочий день
1025,"2020-10-21",Среда,Рабочий день
1026,"2020-10-22",Четверг,Рабочий день
1027,"2020-10-23",Пятница,Рабочий день
1028,"2020-10-24",Суббота,Выходной день
1029,"2020-10-25",Воскресенье,Выходной день
1030,"2020-10-26",Понедельник,Рабочий день
1031,"2020-10-27",Вторник,Рабочий день
1032,"2020-10-28",Среда,Рабочий день
1033,"2020-10-29",Четверг,Рабочий день
1034,"2020-10-30",Пятница,Рабочий день
1035,"2020-10-31",Суббота,Выходной день
1036,"2020-11-01",Воскресенье,Выходной день
1037,"2020-11-02",Понедельник,Рабочий день
1038,"2020-11-03",Вторник,Рабочий день
1039,"2020-11-04",Среда,Праздник
1040,"2020-11-05",Четверг,Рабочий день
1041,"2020-11-06",Пятница,Рабочий день
1042,"2020-11-07",Суббота,Выходной день
1043,"2020-11-08",Воскресенье,Выходной день
1044,"2020-11-09",Понедельник,Рабочий день
1045,"2020-11-10",Вторник,Рабочий день
1046,"2020-11-11",Среда,Рабочий день
1047,"2020-11-12",Четверг,Рабочий день
1048,"2020-11-13",Пятница,Рабочий день
1049,"2020-11-14",Суббота,Выходной день
1050,"2020-11-15",Воскресенье,Выходной день
1051,"2020-11-16",Понедельник,Рабочий день
1052,"2020-11-17",Вторник,Рабочий день
1053,"2020-11-18",Среда,Рабочий день
1054,"2020-11-19",Четверг,Рабочий день
1055,"2020-11-20",Пятница,Рабочий день
1056,"2020-11-21",Суббота,Выходной день
1057,"2020-11-22",Воскресенье,Выходной день
1058,"2020-11-23",Понедельник,Рабочий день
1059,"2020-11-24",Вторник,Рабочий день
1060,"2020-11-25",Среда,Рабочий день
1061,"2020-11-26",Четверг,Рабочий день
1062,"2020-11-27",Пятница,Рабочий день
1063,"2020-11-28",Суббота,Выходной день
1064,"2020-11-29",Воскресенье,Выходной день
1065,"2020-11-30",Понедельник,Рабочий день
1066,"2020-12-01",Вторник,Рабочий день
1067,"2020-12-02",Среда,Рабочий день
1068,"2020-12-03",Четверг,Рабочий день
1069,"2020-12-04",Пятница,Рабочий день
1070,"2020-12-05",Суббота,Выходной день
1071,"2020-12-06",Воскресенье,Выходной день
1072,"2020-12-07",Понедельник,Рабочий день
1073,"2020-12-08",Вторник,Рабочий день
1074,"2020-12-09",Среда,Рабочий день
1075,"2020-12-10",Четверг,Рабочий день
1076,"2020-12-11",Пятница,Рабочий день
1077,"2020-12-12",Суббота,Выходной день
1078,"2020-12-13",Воскресенье,Выходной день
1079,"2020-12-14",Понедельник,Рабочий день
1080,"2020-12-15",Вторник,Рабочий день
1081,"2020-12-16",Среда,Рабочий день
1082,"2020-12-17",Четверг,Рабочий день
1083,"2020-12-18",Пятница,Рабочий день
1084,"2020-12-19",Суббота,Выходной день
1085,"2020-12-20",Воскресенье,Выходной день
1086,"2020-12-21",Понедельник,Рабочий день
1087,"2020-12-22",Вторник,Рабочий день
1088,"2020-12-23",Среда,Рабочий день
1089,"2020-12-24",Четверг,Рабочий день
1090,"2020-12-25",Пятница,Рабочий день
1091,"2020-12-26",Суббота,Выходной день
1092,"2020-12-27",Воскресенье,Выходной день
1093,"2020-12-28",Понедельник,Рабочий день
1094,"2020-12-29",Вторник,Рабочий день
1095,"2020-12-30",Среда,Рабочий день
1096,"2020-12-31",Четверг,Рабочий день
1097,"2021-01-01",Пятница,Праздник
1098,"2021-01-02",Суббота,Выходной день
1099,"2021-01-03",Воскресенье,Выходной день
1100,"2021-01-04",Понедельник,Выходной день
1101,"2021-01-05",Вторник,Выходной день
1102,"2021-01-06",Среда,Выходной день
1103,"2021-01-07",Четверг,Выходной день
1104,"2021-01-08",Пятница,Выходной день
1105,"2021-01-09",Суббота,Выходной день
1106,"2021-01-10",Воскресенье,Выходной день
